,model_daily,model_weekly,model_weekly_10_holdings,momentum_only,nifty50,equal_weight_nifty100
2016-05-05,133701.44,128095.18,108270.10,123690.83,92139.19,96220.63
2016-05-06,134226.62,129672.56,108301.25,125625.96,92114.78,96423.45
2016-05-09,135974.61,129626.47,109552.00,126841.19,93694.20,97583.93
2016-05-10,136194.28,129902.29,109612.17,126702.59,93953.27,97528.02
2016-05-11,137251.59,129970.05,109585.86,125396.55,93489.33,97188.02
2016-05-12,138914.05,130792.19,110086.40,125351.97,94103.35,97961.33
2016-05-13,137859.43,130393.83,109395.02,122933.35,93084.94,96901.84
2016-05-16,138964.69,130670.50,109225.03,123441.88,93631.07,96860.67
2016-05-17,139088.15,131520.45,110197.76,122340.03,93988.41,97005.13
2016-05-18,138898.34,130695.17,110009.32,122111.67,93743.04,96992.22
2016-05-19,138427.48,130681.27,109429.73,120419.13,92709.74,95612.85
2016-05-20,137945.99,128187.88,108089.17,118731.03,92308.33,95226.37
2016-05-23,133491.45,125141.92,106442.86,118946.28,92086.18,94909.91
2016-05-24,131207.03,124769.67,104986.53,119198.30,92298.21,94824.06
2016-05-25,130906.84,124993.97,106518.95,117530.13,94514.29,96658.69
2016-05-26,131886.56,129142.71,107812.15,121625.30,96119.32,98149.97
2016-05-27,134227.83,133669.98,109903.69,124293.70,97155.60,99270.19
2016-05-30,133890.29,132841.82,109074.73,123813.44,97415.86,99878.58
2016-05-31,134650.08,133655.13,109566.31,124627.45,97196.69,99799.22
2016-06-01,135968.27,131880.62,109364.32,122133.99,97433.13,99800.09
2016-06-02,138906.20,133222.17,110247.84,123371.25,97897.67,100546.23
2016-06-03,138012.05,134146.72,110463.30,123617.37,97919.70,99985.01
2016-06-06,136580.68,133151.45,109757.88,123182.76,97684.46,99846.09
2016-06-07,135737.74,133254.86,109901.38,123671.57,98463.45,100581.15
2016-06-08,135980.82,132588.46,109551.20,123434.32,98542.06,101220.73
2016-06-09,134580.15,133092.81,109620.08,123705.37,97714.83,100957.01
2016-06-10,132701.52,131334.55,108515.24,122559.58,97315.21,100613.39
2016-06-13,131671.37,130880.39,108764.68,122167.33,96607.09,100006.67
2016-06-14,131695.35,130343.55,108490.87,122675.93,96586.25,100563.40
2016-06-15,132444.37,130545.83,108777.72,121250.39,97750.56,101474.97
2016-06-16,131806.51,128539.30,107941.99,119222.63,96966.21,101007.88
2016-06-17,130286.65,127712.78,107320.18,118625.27,97317.00,101079.28
2016-06-20,130720.80,128027.51,107723.91,119151.93,98130.53,101949.35
2016-06-21,129632.95,129144.74,107726.23,120815.69,97908.99,101792.11
2016-06-22,130123.84,128188.42,107459.28,119431.03,97716.02,101516.86
2016-06-23,131306.40,129113.79,108056.28,118677.01,98511.10,101886.43
2016-06-24,129208.00,126814.97,106489.92,116012.46,96345.04,100282.48
2016-06-27,131895.92,129693.34,107870.61,118142.66,96417.70,101216.00
2016-06-28,133017.15,132236.81,109459.46,119238.26,96812.56,101761.66
2016-06-29,133637.79,132286.98,110128.46,119896.96,97719.60,102947.37
2016-06-30,136165.74,132145.82,111062.38,119080.56,98717.16,104328.10
2016-07-01,138295.45,134412.90,113344.68,120861.16,99200.75,105397.19
2016-07-04,139601.24,134536.28,114055.24,119797.56,99705.20,106353.31
2016-07-05,139989.28,131287.94,112853.94,116234.06,99291.28,106026.03
2016-07-07,138641.82,131364.87,111972.97,115686.36,99314.51,105593.53
